,neurons_CNN,neurons_dense_1,neurons_dense_2,neurons_dense_3,neurons_dense_4,activation,dropout_rate,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
37,90,88,157,102,106,softmax,0.13,0.0083,<keras.optimizers.rmsprop.RMSprop object at 0x0000019449243790>,13,35.95848062328528,7.764964933787357,24.291891661344792,1.2832806391792804,0.7395150394187116,0.10751455906067019,-0.06198253749063076,0.11699890142853485
38,26,110,172,118,197,sigmoid,0.83,0.0073,<keras.optimizers.adadelta.Adadelta object at 0x0000019449290FA0>,10,35.90215540185217,7.873756993509855,24.187198083385145,1.4926529181124184,0.7348559935643483,0.0977388636853251,-0.05525289806868257,0.09940279740442506
39,54,138,64,163,47,tanh,0.6,0.0047,<keras.optimizers.adadelta.Adadelta object at 0x0000019459E81700>,11,32.644617534563295,8.245152377716193,21.262992585874073,2.887420622503664,0.637592138400799,0.04672561862408632,0.14067253038430588,0.07450552929788005
40,18,56,12,179,47,tanh,0.39,0.0043,<keras.optimizers.adadelta.Adadelta object at 0x000001944B9BDB50>,16,31.096746910246594,7.766731520802411,19.848314887557933,1.9446626515657655,0.599247367036703,0.06017820904567046,0.2175342918999516,0.07404717525829235
41,72,116,66,116,30,relu,0.1,0.0019,<keras.optimizers.adam.Adam object at 0x000001945208CB50>,13,30.336244534113,6.99411869981435,19.236627805310917,1.8225129985872282,0.5806850769299532,0.055671293126846114,0.24739883421344083,0.08739915719339961
42,81,149,12,165,111,hard_sigmoid,0.9,0.0057,<keras.optimizers.adam.Adam object at 0x0000019451EFCF40>,10,36.04014307355853,7.67025525038123,24.477731870358287,1.2977094168650165,0.7455530066331799,0.11151667439112235,-0.06919290259240136,0.12716233234259966
43,85,152,91,191,83,relu,0.86,0.0018,<keras.optimizers.rmsprop.RMSprop object at 0x0000019459EB73D0>,19,35.91711965813123,7.833410432760858,24.006875938371895,1.3348562243807514,0.7306770197228245,0.10590378454429437,-0.057898021500669784,0.11002523672511239
44,92,130,178,99,147,linear,0.04,0.0084,<keras.optimizers.adamax.Adamax object at 0x0000019449159880>,14,30.68241787772349,6.92676497605471,19.579488261073244,1.4659454938091554,0.5936202295380784,0.07271548535067124,0.22166065635235221,0.1355858741230749
45,44,110,82,118,151,softplus,0.15,0.008,<keras.optimizers.sgd.SGD object at 0x0000019456202AF0>,8,30.360806727783675,7.707524450067041,19.218317821991985,1.6792544347001532,0.5817580958269222,0.06789985355968359,0.2519199754526939,0.09344237224034486
46,100,19,166,72,24,linear,0.55,0.0076,<keras.optimizers.sgd.SGD object at 0x000001944B6F9C70>,11,31.13552296125552,8.295405402365994,20.16916630642087,1.682911416166078,0.6114080172304055,0.07731221694524056,0.21713740841284812,0.09861294867843277
47,67,117,80,166,146,softsign,0.93,0.0046,<keras.optimizers.adagrad.Adagrad object at 0x000001944B769910>,6,36.020628330608766,7.675109041991294,24.525874970239748,1.2337592133714834,0.7470049930966097,0.11067446568222362,-0.06778799699226101,0.1257638998558058
48,84,82,85,98,52,hard_sigmoid,0.35,0.0048,<keras.optimizers.adadelta.Adadelta object at 0x000001944BC596A0>,11,32.038860080051975,8.712740924091229,20.570242650524463,3.142416899393978,0.61582971553423,0.05133392377926604,0.17830844742267868,0.10853933121581591
49,76,191,88,155,163,hard_sigmoid,0.11,0.0022,<keras.optimizers.adagrad.Adagrad object at 0x000001944B59FB50>,7,31.182246095378467,7.980658128294555,19.658031344180014,2.3512065279649104,0.5914642745995857,0.05145555044552767,0.21698910870330917,0.06265579157778806
50,23,65,146,95,129,softsign,0.19,0.0021,<keras.optimizers.rmsprop.RMSprop object at 0x0000019449351AF0>,16,30.672602295594686,7.322158406020309,19.375219245673783,1.9016130347100384,0.5854337114499332,0.0633280341079092,0.23320067896569352,0.08786272532569835
51,50,106,87,37,113,softmax,0.84,0.0048,<keras.optimizers.adamax.Adamax object at 0x000001945B9541F0>,13,35.957494004167394,7.768209307470769,24.28709473983914,1.2838235664657578,0.7393657019367377,0.10747555046146917,-0.06186275793702911,0.11678235228582508
52,35,30,164,15,37,tanh,0.58,0.005,<keras.optimizers.adamax.Adamax object at 0x0000019451C34640>,11,31.878451842287586,8.568936480173537,20.31766725981158,2.3790402106569393,0.6110752450909063,0.0489157612823026,0.18551970752649213,0.07260526649164045
53,70,51,167,132,169,softmax,0.82,0.0068,<keras.optimizers.adagrad.Adagrad object at 0x000001944BC6B070>,5,35.971354643600286,7.755796302230122,24.324263808774017,1.2697723335366153,0.7405718302132467,0.10802215564346017,-0.06301483233632252,0.11823882967194686
54,34,135,76,99,36,linear,0.61,0.0045,<keras.optimizers.adam.Adam object at 0x0000019451BAD700>,19,31.079359247481722,8.155284769804966,20.092760644083704,1.6577846023411187,0.6088244093822998,0.07429496383497165,0.21894983211106656,0.09618513411364206
55,19,57,84,163,198,softplus,0.91,0.0091,<keras.optimizers.rmsprop.RMSprop object at 0x00000194566BA610>,7,35.96468679078884,7.86106770522831,24.228983511020935,1.4479499418306012,0.7366333573613286,0.10141304542224708,-0.05977506683741392,0.10440596939892995
56,42,146,184,45,130,sigmoid,0.34,0.0085,<keras.optimizers.sgd.SGD object at 0x0000019448EAC8E0>,16,32.7791719606017,9.888122679616725,21.150126534661435,3.7213806502533004,0.6306184608601269,0.04986932435757055,0.14945100765142666,0.12899372632541709
57,73,146,42,186,121,linear,0.19,0.0004,<keras.optimizers.adamax.Adamax object at 0x0000019459F2A3A0>,9,30.682210683085138,7.124793766857303,19.550798244102328,1.3272273753950339,0.5940905230602229,0.08191103471436945,0.22086820349029473,0.14952123252765712
58,28,28,44,45,62,relu,0.47,0.0036,<keras.optimizers.nadam.Nadam object at 0x0000019448477DC0>,8,32.38312640965552,8.562374694093926,20.294544276770424,2.465589271570492,0.6088604950291812,0.033986971396013574,0.1625113720835802,0.04810002391920818
59,56,12,93,98,142,hard_sigmoid,0.22,0.0017,<keras.optimizers.rmsprop.RMSprop object at 0x0000019456BA13A0>,17,32.91442236577331,9.754324441521732,21.351476220601523,3.4512524551704082,0.6385245142014601,0.053033190639802136,0.13928416758697995,0.12724470883073943
