,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
34,16,16,tanh,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2824E070>,20,31.562998711243086,7.147935530017906,19.999524721522736,2.5082991718502727,0.6005409748484715,0.044044008228483006,0.1862994742894628,0.07827112243201167
35,16,16,sigmoid,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A25954A30>,20,32.466773446454,7.642526110245548,21.1916420222887,2.5532405698502325,0.6369880263069161,0.05008180770004895,0.14365104391811118,0.07763987480135241
36,16,16,sigmoid,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2BF79FD0>,20,32.18540003182301,7.828296064290572,21.131489576545412,2.3558598869926533,0.6355069059674568,0.046227672385504,0.16399131287422036,0.0453349442076569
37,16,16,sigmoid,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2B3F5AC0>,20,32.94268269147285,7.807920293784666,21.667871294068355,2.200930940702267,0.6533521249003746,0.05928285073081349,0.11719223410687503,0.08439009696336058
38,16,16,sigmoid,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C6FF070>,20,32.873036290144235,7.72584296762889,21.716598269207026,2.0498972676442944,0.655856408126653,0.06576084850532986,0.11928461402237456,0.09141735673513558
39,16,16,sigmoid,0.0005,<keras.optimizers.adam.Adam object at 0x00000239FF67E8B0>,20,33.132482929125366,7.3611500529241845,21.69689482925764,1.5622484551251123,0.6615651759839503,0.10986218842009374,0.08990691380189257,0.16844462554567546
40,16,16,sigmoid,0.0005,<keras.optimizers.adamax.Adamax object at 0x00000239DAA95520>,20,32.00496319861387,7.76878729428087,20.89981324727239,2.323720163219322,0.6286987786773752,0.04733120034353268,0.17278826263993047,0.04491711797362092
41,16,16,sigmoid,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A29F393A0>,20,32.25438618745805,7.487733379244131,20.94111463150947,1.9364230630844996,0.6325560468346378,0.06359423593861006,0.1525393547965897,0.0790378475262136
42,16,16,hard_sigmoid,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A299072B0>,20,32.4182788734409,8.283639041883456,21.090720533623415,2.349161028826611,0.6341755537148336,0.0449748469526358,0.1569347172921572,0.04176835700145981
43,16,16,hard_sigmoid,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2A10A5B0>,20,32.2573691602174,8.145627827917158,20.794834982024298,2.279502226130747,0.6256373032137316,0.0470281965876709,0.16009345609711784,0.07032961095805114
44,16,16,hard_sigmoid,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A1FACA0>,20,32.30633995516929,7.335571426872757,21.14438487969193,2.0068104443069665,0.6384590288154534,0.06319901395494032,0.14699599646079012,0.08950827474473748
45,16,16,hard_sigmoid,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A29A16FD0>,20,32.24147347306258,7.471975248525543,20.977693386950524,2.215359634336385,0.6318631601850822,0.05295996415040632,0.15439168571709022,0.06871088643159615
46,16,16,hard_sigmoid,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2AE6A6A0>,20,32.537610096328685,8.193753269197092,21.27869185801425,2.261637059448848,0.6406260487546215,0.05069139012834305,0.14858945124701034,0.048231024394421215
47,16,16,hard_sigmoid,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2BF97B50>,20,32.049863370653725,7.713124185538902,20.886557149341684,2.1297395822060223,0.6293472589294373,0.05269611323625455,0.17012011186177103,0.044294714972451826
48,16,16,hard_sigmoid,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2FD7F610>,20,32.07973501052474,8.289019067999247,20.627422575701296,2.135783292690449,0.6215558957993437,0.053194186177254334,0.1727992440670854,0.05954236283706462
49,16,16,linear,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A30B59520>,20,31.155411312623407,7.050793750622497,19.951692574086533,1.5095510456367007,0.6047783732630561,0.07319775423211802,0.19836169189788092,0.13548038736928306
50,16,16,linear,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A116F5790>,20,31.16102587326072,6.98916230909079,20.01110057168537,1.6967948987243997,0.6053174493466903,0.06548626877228612,0.200006876232497,0.12015991995235259
51,16,16,linear,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BD3C9D0>,20,31.246222070336973,7.008554241299585,20.05186647371529,1.601894760753958,0.6074264942846044,0.07176750590442033,0.1930146242533894,0.13710958123074823
52,16,16,linear,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2A0A27F0>,20,31.326698604910142,6.930181246423124,20.176765259262787,1.3527675146262976,0.6130462018795665,0.08365365793108516,0.18706169466231728,0.14393410039525126
53,16,16,linear,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A11CAE580>,20,31.27695524086755,7.062117046376035,20.055133098792403,1.6171303207989822,0.6074975921430805,0.07180635182167304,0.1921722060761894,0.13548513613560617
54,16,16,linear,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2F744A00>,20,31.179209879036698,6.952518831734196,20.08075910533955,1.6671245188952244,0.6078458360666674,0.0689551203886622,0.19742184619386696,0.12870512238635737
55,16,16,linear,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A5E1A2790>,20,31.137001444648103,6.861597496617143,20.026759541502184,1.6553017239635157,0.6062724270484655,0.06918677027920073,0.19847440779347458,0.13100813927412341
