,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
44,36,27,linear,3e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A04300550>,15,0.18,35.27113153618443,6.4364030960766705,23.260381921053913,2.082539715211765,0.7035654689273998,0.06721865788675324,-0.0406253738780775,0.17456362650243137
45,40,9,linear,0.0004,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D4C5AF0>,30,0.96,35.03867513503801,7.772657053584334,23.56699484385319,1.4083354997617656,0.7171007389360293,0.09422987060408806,-0.0027993212199450613,0.09028030352633278
46,88,39,linear,0.00071,<keras.optimizers.adadelta.Adadelta object at 0x0000023983B08130>,6,0.02,35.115037033509665,6.152426530242168,23.24647148796364,1.6569576647584756,0.7057559412172847,0.08295038031915544,-0.03500306368611528,0.1808531733517262
47,42,98,linear,0.00043,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C174460>,19,0.17,35.87451538287304,6.053496355369287,23.879271242714715,1.6043457253410076,0.7259359705448463,0.0926040912360926,-0.08780153540840371,0.22132987843624882
48,51,49,linear,0.00076,<keras.optimizers.adadelta.Adadelta object at 0x00000239DFE46D30>,9,0.64,34.76732535440125,6.722259356523103,22.9401528782681,2.0686220428249933,0.6937230431820534,0.06503961627234732,-5.903589592841652e-05,0.11762995838199324
49,89,69,linear,0.00042,<keras.optimizers.adadelta.Adadelta object at 0x0000023A10668880>,47,0.76,34.59121070778475,6.631613806518241,22.84976081210792,1.7853081731504268,0.692610499863075,0.07448623550226087,0.00679729159157374,0.1365991444315876
50,89,82,linear,0.00094,<keras.optimizers.adadelta.Adadelta object at 0x0000023A302E4DC0>,27,0.82,34.158997557817635,6.775821845161581,22.63479266654121,1.5110598811209963,0.6879788447277013,0.0864459463259373,0.03444094967916724,0.12582940294059164
51,7,89,linear,0.00059,<keras.optimizers.adadelta.Adadelta object at 0x0000023A1074FE20>,43,0.31,36.03070930050956,6.273428105816249,24.040139896607368,1.1186757757884298,0.7333480981038492,0.10715368552931828,-0.09868314646100602,0.2418730240300952
52,82,89,linear,0.00073,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D5786D0>,40,0.26,34.921672046247636,6.49675187980812,23.125516635371497,2.398319555487178,0.6973897597253822,0.05367332399658825,-0.013277070694574223,0.13324492576591854
53,18,56,linear,0.00087,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D4A8BB0>,8,0.93,34.523251473437185,6.765891709770513,23.006171083060472,0.9794013081558822,0.7033078772888279,0.11373830843323338,0.004530089968178807,0.183158265127874
54,36,21,linear,0.00069,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D26FA90>,17,0.8,34.099823323462495,7.384633331098811,22.578708975348455,1.9350182240460567,0.6833652586028683,0.06740412004301345,0.048853259362057935,0.08456677344111314
55,93,96,linear,7e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A30F68B80>,46,0.83,34.46946792730324,6.889564449732876,22.753365876615128,2.260064686721332,0.686588443436843,0.054515727976143555,0.02179387311409673,0.09456086212410716
56,94,5,linear,0.00032,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C2AB940>,39,0.66,33.87955596183809,7.777815621221739,22.492762686149902,2.0368075595895148,0.6800408494993476,0.06243852181074911,0.06858460254383018,0.0553424126578674
57,51,7,linear,0.00013,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2E5C2CA0>,27,0.65,34.14077279240995,7.431890530725377,22.730031737663783,1.8577296782997008,0.6884956050018587,0.07123139042623214,0.047288806142529546,0.0810398390187819
58,21,85,linear,4e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2A4B1DF0>,38,0.68,35.65740520666889,6.305931941371125,23.809553434248976,1.2467166786887918,0.7256757664021528,0.1026720031004004,-0.06875013607163108,0.19996692077744344
59,82,93,linear,3e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2E95CA90>,43,0.94,34.30530371215442,6.847260318268746,22.888707841347276,1.0687712810584267,0.6987494167127297,0.10660799846843333,0.022505019934444027,0.15352386453427497
