,neurons_layer,activation_layer,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
25,18,relu,0.00048,<keras.optimizers.adam.Adam object at 0x00000239FCF4F190>,12,0.91,33.45229391108579,8.03083955970155,22.3254932577314,1.5893057550611414,0.6768988032353627,0.08143775434697374,0.09242994654733012,0.07220290642314639
26,62,relu,0.00086,<keras.optimizers.adam.Adam object at 0x0000023982736670>,17,0.4,30.077633490400594,6.3437186508300885,18.979734784715315,1.441161095433646,0.5768426021101983,0.08251470807092075,0.24755245494965292,0.13701310578663714
27,86,relu,0.00082,<keras.optimizers.adam.Adam object at 0x00000239EDDA2940>,32,0.6,30.019907616787656,7.088695736346299,19.12182524578244,1.8437949035951675,0.5779376807929542,0.062977555186549,0.26628046051579524,0.07399400977097188
28,80,relu,0.00063,<keras.optimizers.adam.Adam object at 0x0000023983E6FB50>,20,0.85,30.69740937410806,7.265412851299401,19.98679824163711,1.8160233994424917,0.6038249448918801,0.06088820179982939,0.23440268767415065,0.06306104412219789
29,99,relu,0.00099,<keras.optimizers.adam.Adam object at 0x00000239F1E91B50>,13,0.17,30.42601077281297,6.666433715200949,19.129018167810504,2.0378751306324756,0.5767449061584635,0.054578352438759935,0.2395836925403152,0.09084492884519897
30,11,relu,0.00091,<keras.optimizers.adam.Adam object at 0x00000239837B5700>,48,0.72,32.18922083204422,7.754618435815745,21.42816198939591,1.5285373960443793,0.6499654773124997,0.08071916111113583,0.15838331737707256,0.08086662067753592
31,87,relu,0.00095,<keras.optimizers.adam.Adam object at 0x0000023983EA9790>,33,0.41,30.45647621999451,6.645191107985165,19.36792522848042,1.6773543057301599,0.5869215334567658,0.07384948428398447,0.2368640443487541,0.09823827641057975
32,17,relu,0.00029,<keras.optimizers.adam.Adam object at 0x00000239D5CADB20>,16,0.37,31.055688584081963,6.991208057188749,20.1819615098386,1.6267577464791045,0.6115719168750232,0.07435380515542381,0.20917997717778697,0.09642133982346597
33,45,relu,0.0006,<keras.optimizers.adam.Adam object at 0x00000239D467E8B0>,33,0.37,30.585147296651506,6.81419982827358,19.488111941487183,1.984722226395239,0.5883923873955,0.061293051794924,0.2331971603080066,0.0892670950275713
34,67,relu,0.00013,<keras.optimizers.adam.Adam object at 0x00000239D460D700>,8,0.22,31.239719580022957,6.378646664612846,20.060331756928388,1.7928239523275324,0.6070940180443989,0.07042795817878018,0.19216904262880025,0.11143529351284928
35,57,relu,0.00074,<keras.optimizers.adam.Adam object at 0x00000239D570DF10>,11,0.78,30.176758719292497,7.304743367359365,19.467414086706498,1.9324414774300602,0.5870211876724271,0.05222016102612212,0.2629946862504375,0.05520562793187317
36,87,relu,0.00033,<keras.optimizers.adam.Adam object at 0x00000239D42C2400>,38,0.26,30.848479413476014,6.495570869728873,19.472708313137876,1.9055752519525813,0.5896277203602474,0.07485787111993446,0.21156640186318315,0.1249664882878502
37,83,relu,0.00052,<keras.optimizers.adam.Adam object at 0x0000023A03F9DA60>,10,0.87,30.731081659856518,7.33746035600041,20.164680169376673,1.7399318221303568,0.6101507765123533,0.06845769932945388,0.23196131350298188,0.07590639406665135
38,83,relu,0.00087,<keras.optimizers.adam.Adam object at 0x00000239CBC53AC0>,21,0.39,30.505660754676267,6.526341784746448,19.40761160803776,1.6007945450816816,0.5895824418847291,0.0845179395391965,0.22616500993523497,0.1435232266001137
39,87,relu,0.00013,<keras.optimizers.adam.Adam object at 0x00000239FB85C370>,48,0.89,30.536810036765836,7.494788787429537,19.864524741188372,1.8421473098305507,0.6000257808405562,0.06036733886849825,0.24707002384744808,0.04743194888259015
40,24,relu,0.00097,<keras.optimizers.adam.Adam object at 0x00000239FD062A60>,40,0.45,30.764331140379266,7.2572255072364635,20.126281854919363,1.7862016045230993,0.6087511997752248,0.06717045559346481,0.23084293583035365,0.06476183274554262
41,97,relu,0.00025,<keras.optimizers.adam.Adam object at 0x00000239816A5C40>,45,0.3,30.862194105706447,6.293350536761913,19.5376562561085,1.10961502648086,0.5962168392751644,0.09881743986475004,0.20475280059606119,0.15095702792913804
42,80,relu,0.0007,<keras.optimizers.adam.Adam object at 0x000002398488EEB0>,12,0.96,32.756488901081845,7.676691381635751,21.8411614724234,1.4574423834899937,0.6628083900804702,0.0832285998112597,0.1273211483844559,0.07570844143091715
43,14,relu,7e-05,<keras.optimizers.adam.Adam object at 0x0000023A0055E1C0>,19,0.18,31.332790594050984,7.693012257696229,20.07362863292881,2.194324251932913,0.6043763491370184,0.050034617854121936,0.2058035985147615,0.06041103494839256
44,50,relu,0.00017,<keras.optimizers.adam.Adam object at 0x0000023983704100>,23,0.61,30.104767669548796,6.924683105294802,19.345538674460517,1.4279144038680192,0.5876742335759375,0.08137029461615933,0.2554933410259495,0.10885070662321111
45,9,relu,0.00048,<keras.optimizers.adam.Adam object at 0x00000239D0B29490>,6,0.77,32.904918815950154,8.263221360391872,21.775850298825432,1.7154740319477322,0.6596587663256424,0.07732820683856484,0.1250344555377821,0.07797029841782802
46,83,relu,7e-05,<keras.optimizers.adam.Adam object at 0x00000239835DB3D0>,12,0.49,30.330004636366375,6.433185166699575,19.207844626046473,1.5114052130754816,0.5822860484277896,0.07213932474819668,0.2414064063423295,0.09812174469581214
47,21,relu,0.00089,<keras.optimizers.adam.Adam object at 0x0000023983BB0A90>,43,0.03,30.731039565271395,6.800338785538375,19.604794548695388,1.997847987517235,0.5916604713348457,0.059128427340383025,0.22542205180993485,0.08978873636392905
48,12,relu,0.00095,<keras.optimizers.adam.Adam object at 0x00000239D6FF8C10>,26,0.11,30.958903972208752,6.901386967949476,19.887052545983806,2.0047712868707257,0.5994312597282038,0.051677706689574054,0.21730211746057604,0.06841567451417355
49,49,relu,0.0004,<keras.optimizers.adam.Adam object at 0x0000023983BB0250>,22,0.29,30.839484325593368,6.6289091836592915,19.50060646479426,1.8794380560182182,0.588163068305926,0.0521569081455529,0.22055017845465158,0.07149571868177582
50,6,relu,0.00089,<keras.optimizers.adam.Adam object at 0x00000239F1E42730>,6,0.37,31.81520206905738,8.205284876869543,20.634906288143856,1.9537172168507475,0.6230440036909927,0.06116749264916987,0.1859110854021691,0.06506461957020915
51,51,relu,0.00022,<keras.optimizers.adam.Adam object at 0x00000239FB870A30>,33,0.61,30.36115364773559,6.804030306120711,19.53839815800486,1.5444150183454453,0.5921335156955193,0.07186362124733339,0.2447197810613178,0.0867114207268952
52,36,relu,0.00041,<keras.optimizers.adam.Adam object at 0x00000239D06F0370>,48,0.7,30.66935555568754,7.4430529082178705,20.023832923680352,1.8559417288315234,0.6052881329227905,0.06515347773351894,0.2370495964559951,0.06874522226452796
53,5,relu,0.0002,<keras.optimizers.adam.Adam object at 0x00000239D5C73400>,10,0.12,31.874832159616755,7.629977654204811,20.890011994199817,2.0922531294340474,0.6302488789118728,0.0599743639901216,0.1758567079814038,0.07081970529397501
54,92,relu,0.00041,<keras.optimizers.adam.Adam object at 0x00000239CD7A2580>,9,0.81,30.680858660374497,6.897335974817549,19.887807562148645,1.921463035114327,0.6009193767869879,0.06418380834959746,0.22785151031027767,0.09547010986123301
55,85,relu,0.00067,<keras.optimizers.adam.Adam object at 0x00000239DCD0C820>,16,0.9,30.602447245217853,7.476150036909133,20.00457786438512,1.9803379288379515,0.6033993892539156,0.05534155110596346,0.2429009511175555,0.05480851958120786
56,36,relu,2e-05,<keras.optimizers.adam.Adam object at 0x00000239F0618D60>,27,0.6,30.305551095712588,7.2524015059256675,19.550079700993557,2.072809187845027,0.5889613124901045,0.05057829821702244,0.2540272691287559,0.06678676167276419
57,53,relu,0.00023,<keras.optimizers.adam.Adam object at 0x00000239816A6B50>,20,0.67,30.178997658073616,7.230830670030942,19.467245680678126,2.019526484636174,0.5873153694230406,0.057698718054124444,0.2604274466340543,0.06869375430844515
58,88,relu,2e-05,<keras.optimizers.adam.Adam object at 0x00000239D0B73B50>,20,0.97,32.95903587021441,7.751486867361449,22.06608618809507,1.5551554315922025,0.6692499231185062,0.0822342544688744,0.1170234390382247,0.07328776295332239
59,51,relu,0.00065,<keras.optimizers.adam.Adam object at 0x00000239CDAC3460>,37,0.19,30.60304079521187,6.377979439863766,19.50895809044246,1.637170042557483,0.591778529501979,0.07816470404058097,0.2217644102763578,0.13377094367800077
