,neurons_layer,activation_layer,learning_rate,optimizer,dropout,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
43,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239EDCE2790>,0.18,18,30.588992437788836,7.1150529027706,19.33620498328427,2.2516058428936585,0.5820561017140222,0.05182115698626239,0.23920381126762655,0.058522536414296986
44,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D442A8E0>,0.79,18,31.162077834996392,7.159155438009828,20.00237987695956,1.7613860079275097,0.6052862613987935,0.06908582844982698,0.20651029474837063,0.08507161355415446
45,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239EDEF8460>,0.91,18,32.409975372176554,9.331748280163483,21.212685931196397,2.81754849888783,0.638882141500561,0.07004103863626793,0.15756859796541473,0.1232757018558968
46,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D08CEFD0>,0.07,18,30.64088917518983,6.851370839192833,19.110954088323258,1.9975601775558063,0.5757795976574993,0.04885109363297597,0.23105606542140916,0.08297364938198462
47,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0FB5370>,0.05,18,30.153018623924673,7.1712335288725555,18.847584236681072,1.9097467906916223,0.5689308380384752,0.057632882365779334,0.25964735249125825,0.07672867322550952
48,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DAA95D90>,0.43,18,30.6862396714317,6.942327556986431,19.33428756294687,2.1061751618779354,0.5845395654541238,0.07120670309982229,0.2265705397353896,0.10913014127951608
49,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DCC0D7C0>,0.84,18,31.654647675913218,7.1877629878027935,20.5019471269807,1.2129082334677794,0.6252707519364488,0.10133852038566024,0.17105820221743423,0.14982999122742766
50,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D1242190>,0.37,18,30.654173438280356,6.7794352242477425,19.522205428204508,1.7669962061893825,0.5906253304134695,0.06735627643670523,0.22675974031022314,0.10570688402795005
51,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D43FDAF0>,0.3,18,30.316359871085126,7.138182510085135,19.089683275051364,1.935762385624213,0.5764609895030166,0.06073286998828773,0.24904098568707794,0.09310086550231486
52,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D07E9D60>,0.14,18,30.28790366110071,7.190497699487433,19.06542447820988,2.0224895871885646,0.5749777820881407,0.05578263500121044,0.2541383376625984,0.07148459435566103
53,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239C84FD130>,0.31,18,31.31547398137743,6.696753073985257,19.748866902223604,1.7849225879887032,0.5966497372320338,0.06000583514410316,0.1946274272258769,0.08388490917112679
54,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239F0505610>,0.46,18,30.387123087533872,7.115807027802424,19.451823343404758,2.378516773123526,0.5850573835466459,0.05071305527816788,0.24881345070182137,0.065873231651108
55,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DCC8FD30>,0.56,18,30.843021809270624,6.742214654331167,19.738449924210318,1.8273702572996147,0.596692725266887,0.06458972242363847,0.21941086560215356,0.08622668768905851
56,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239C9B28490>,0.13,18,31.107613316407793,6.448886046369761,19.370070727276648,1.3719311451435763,0.5880789434842357,0.07765683446529821,0.19488470304650246,0.14080286077462356
57,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239EDE42730>,0.15,18,30.900073748664152,6.9406653451181155,19.283530614111157,2.092722248952932,0.5813796295864454,0.056329233130979726,0.22157132353702796,0.05939330854104913
58,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D06333D0>,0.48,18,30.584369447945676,6.602912572436773,19.26342908915351,1.8017834895989464,0.5828519871894475,0.06832958324298212,0.22921004624164887,0.10233872017398087
59,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D07D0670>,0.9,18,31.647215326546256,7.840028235771707,20.61484653825074,1.7414442955187004,0.6243555755264684,0.07456567221935954,0.18957277298075237,0.07136504336743123
